"ID","Title","Author","Ablum","Times","Click","Availablity"
222,"张晓群：自由主义不是论证出来的","张晓群","历史学专栏",2003-06-09,2901,0
397,"有关一九八九年事件的一些思考","萧喜东","笔会专栏",2001-08-21,9892,0
398,"有关一九八九年事件的一些思考","萧喜东","笔会专栏",2001-08-21,3942,0
399,"有关一九八九年事件的一些思考","萧喜东","笔会专栏",2001-08-21,7927,0
571,"徐贲：平庸的邪恶和个人在专制制度下的道德责任","徐贲","语言学和文学专栏",2002-06-17,6072,0
676,"徐友渔：面对文革中多起大屠杀的三重耻辱","徐友渔","历史学专栏",2003-05-26,23708,0
910,"张英红：质疑纪委反腐","张英红","杂文",2003-06-18,13677,0
933,"孟令伟：44年后看 “庐山会议”","孟令伟","读史札记",2003-07-25,14759,0
952,"张值荣：从大历史观看中日钓鱼台争端","张植荣","国际关系时评",2003-09-02,5559,0
957,"毛邓道路的优劣及前景之比较","冼岩","杂文",2003-09-15,12846,0
959,"袁伟时：强国梦与宪政之路","袁伟时","历史学专栏",2003-09-18,21078,0
1305,"蒋彦永：2003感动中国","石书军","笔会专栏",2003-06-02,6249,0
1353,"程向中：关于腐败的非个人因素",NA,"杂文",2003-08-22,5283,0
1540,"西藏：二十一世纪中国的软肋","王力雄","专题文库",2001-08-08,6415,0
1834,"贺卫方：中国法治建设的困境与出路","贺卫方","法学演讲",2001-06-12,9020,0
2496,"充满善意曲解的胡温新政第一年","王永治","良治研究",2003-12-06,6864,0
2515,"试析台湾独立及中国民主进步之前景","华夏子女","台海政治",2003-12-09,2337,0
2523,"台海局势进入高风险期","司马达","台海政治",2003-12-09,1924,0
2889,"龙应台：为台湾民主辩护——与华人世界对话","龙应台","台海政治",2004-04-17,22563,0
3264,"秋风：南都案无碍自由舆论","秋风","笔会专栏",2004-07-02,6392,0
3351,"杨小凯: 中国政治随想录","杨小凯","经济学专栏",2004-07-04,16299,0
3562,"丁抒：文革死亡人数的一家之言","丁抒","文革评论研讨",2004-07-13,5277,0
4242,"王力雄：“西部大开发”的代价","王力雄","科学评论",2004-09-23,6600,0
4538,"妞妞的电影和她的数百万公司股份","新京报","良治研究",2004-11-05,3798,0
4668,"陈永苗：网络民意走向成年","陈永苗","政治时评",2004-11-19,3035,0
5515,"范泓：林昭之死与我们这代人","范泓","文革人物档案",2005-01-20,5051,0
5618,"中国民主化是祸国殃民的选择","孙传炜","杂文",2005-01-31,8427,0
5840,"刘亚洲：信念与道德","刘亚洲","天益讲稿",2005-02-24,44060,0
5882,"邓伟志：建设和谐社会的要点","邓伟志","专题文库",2005-02-28,4300,0
6169,"张博树：现代极权主义制度研究","张博树","政治学演讲稿",2005-03-21,6776,0
6174,"刘军宁：财产权——宪政的基石","刘军宁","政治学专栏",2005-03-21,2967,0
6765,"刘亚洲：广场的见证","刘亚洲","往事追忆",2005-05-14,24718,0
6872,"姚新勇：吃人？吃人？！平静地吃人？！！！","姚新勇","杂文",2005-05-23,7202,0
7013,"王力雄：逐层递选制与民主制：解决西藏问题的方法比较","王力雄","中国政治",2005-06-06,9667,0
7050,"胡适：两种根本不同的政党","胡适","大师文存-致敬专栏",2005-06-09,11415,0
7459,"沙叶新：从不罪己的毛泽东","沙叶新","大浪淘沙",2005-07-11,27364,0
7490,"张博树：从高中政治教材编写看“党化教育”","张博树","基础教育",2005-07-12,7114,0
7531,"王力雄：中国社会的政治转型的途径","王力雄","政治学演讲稿",2005-07-16,10267,0
7630,"靠毛泽东思想治好精神病","人民日报","往事追忆",2005-07-20,3811,0
7655,"李锐：如何看待毛泽东","李锐","政治学专栏",2005-07-21,22422,0
7820,"卢雪松：我等待着一场愉快的谈话","卢雪松","专题文库",2005-07-29,3709,0
8203,"向继东：一封信和一个人之死","向继东","往事追忆",2005-08-14,6193,0
8281,"李剑虹：捍卫灵魂自由的代价——从林昭到卢雪松","李剑虹","专题文库",2005-08-18,3745,0
8284,"陕北民营石油事件最新动态：民营投资者再次进京上诉","陕北民营油田代表","专题文库",2005-08-18,3888,0
8313,"崔卫平：给法律提供援助——公共表述的自由与责任","崔卫平","语言学和文学专栏",2005-08-21,5520,0
8548,"王霄：“毛泽东晚年唯一说对的一句话”","王霄","共和国史",2005-09-05,19458,0
8846,"昝爱宗：袁世凯之子袁克定版《顺天时报》后继有人","昝爱宗","新闻传播学时评",2005-09-23,4873,0
9112,"[12.11]张千帆：从法的视角看","张千帆","法学时评",2005-12-08,7160,0
9569,"章诒和:《伶人往事----写给不看戏的人看》自序","章诒和","文学读书",2006-05-21,18916,0
9689,"张博树：中国现代专制主义批判：历史条件与方法论考察","张博树","政治学专栏",2006-05-31,4676,0
9768,"张松山：浅议“教育产业化”","张松山","教育学时评",2006-06-05,2593,0
9769,"张松山：教育公平之梦","张松山","教育学时评",2006-06-05,2558,0
9903,"蔡禹僧：关于“讲真话”的讲演","蔡禹僧","哲学演讲稿",2006-06-19,4512,0
10070,"张博树：中国现代“党化教育”的制度化过程","张博树","政治学专栏",2006-07-02,10331,0
10113,"高王凌：“大跃进”时期的农民行为","高王凌","共和国史",2006-07-04,2930,0
10126,"陈彦：民族主义诱惑与认同危机","陈彦","中国政治",2006-07-06,3057,0
10140,"张博树：我所理解的公民社会","张博树","政治学专栏",2006-07-06,5104,0
10279,"胡平：读吴思《潜规则》与《血酬定律》","胡平","历史学读书",2006-07-14,5278,0
10888,"章立凡：冷观毛泽东逝世三十年后的中国","章立凡","笔会专栏",2006-08-31,8186,0
11087,"杨继绳：李普今年八十八","杨继绳","大浪淘沙",2006-09-17,3310,0
11088,"王力雄：中国从文革得到什么?","王力雄","文革评论研讨",2006-09-17,6437,0
11153,"周瑞金：从手机短信看党风政风世态人情","周瑞金","杂文",2006-09-24,3975,0
11297,"述弢：先哲的遗言——介绍普列汉诺夫的政治遗嘱","述弢","读史札记",2006-10-11,2655,0
11841,"刘海波：法律技术与户籍制度困局","刘海波","政治学专栏",2006-11-22,2243,0
12427,"张博树：民主选举对今日中国的意义：驳潘维","张博树","政治学专栏",2006-12-28,5185,0
12591,"高智晟的公开声明","高智晟","杂文",2007-01-06,5212,0
12641,"杨继绳：论自由主义与新左派——中国的一场跨世纪争论","杨继绳","专题文库",2007-01-08,3446,0
13802,"张千帆：宪政国家的言论自由","张千帆","法学演讲",2007-04-03,7792,0
13842,"杨继绳：如何面对和分析对改革的批评","杨继绳","专题文库",2007-04-06,2849,0
13956,"刘军宁: 以公民置换人民","刘军宁","政治学专栏",2007-04-15,2087,0
14821,"张博树：山西黑窑场与基层政府的治理黑洞","张博树","政治学专栏",2007-06-17,3976,0
15882,"张千帆：“警察黑老大”的启示","张千帆","法学专栏",2007-09-09,4350,0
16195,"刘军宁：“纳税光荣”吗？","刘军宁","政治学专栏",2007-10-13,3449,0
16265,"李毅：七七级、七八级的社会学分析","李毅","社会学",2007-10-22,3109,0
16995,"徐友渔：毛泽东稿费再思考","徐友渔","读史札记",2007-12-16,6329,0
17037,"何与怀：中国的马丁·路德·金","何与怀","笔会专栏",2007-12-19,3702,0
17155,"张鸣：章太炎的政治疯病","张鸣","大浪淘沙",2007-12-28,368,0
17183,"谢盛友：夜聊日本罪与罚","谢盛友","国际关系时评",2008-01-01,182,0
17218,"吴敏：“龙种”怎么就变成了“跳蚤”","吴敏","政治学专栏",2008-01-03,3,0
17219,"杜光：北大精神归来兮！","杜光","政治学专栏",2008-01-03,13,0
17241,"邵燕祥：1958—2008：为三面红旗的死难者一哭","邵燕祥","民权理念",2008-01-06,28,0
17266,"杜光：2007：喜见起于青萍之末的微风","杜光","政治学专栏",2008-01-08,10,0
17279,"何与怀：一位痛苦的清醒者","何与怀","笔会专栏",2008-01-09,53,0
17296,"陈奉孝：兴奋与焦虑的2008","陈奉孝","杂文",2008-01-10,2,0
17315,"陈奉孝：中国需要进行第二次土改（二）","陈奉孝","笔会专栏",2008-01-12,564,0
17318,"孔庆东：共产党经历的三个28年","孔庆东","杂文",2008-01-12,5303,0
17397,"蒋兆勇：如何应对全面发酵的“奥运政治”","蒋兆勇","笔会专栏",2008-01-19,113,0
17405,"杨恒均：薄熙来的直言和吴仪的“裸退”","杨恒均","笔会专栏",2008-01-20,780,0
17420,"杨恒均：其实我也可以当省长","杨恒均","笔会专栏",2008-01-22,421,0
17421,"杨恒均：千万不要忘记阶级斗争","杨恒均","笔会专栏",2008-01-22,5220,0
17449,"吴敏：科学地认识共产党及其领导权","吴敏","政治学专栏",2008-01-25,150,0
17450,"蔡禹僧：异化与灾变——从唯物论到唯意志论的历史性演变","蔡禹僧","政治思想与思潮",2008-01-25,102,0
17506,"晨曦：财产申报建议，民愿再起","晨曦","法学时评",2008-01-31,1716,0
17554,"傅国涌：跳出“周期率”——我对中国近代史的一点看法","傅国涌","笔会专栏",2008-02-11,357,0
17591,"沈睿：出口中国女人：毛泽东的“好”建议","沈睿","杂文",2008-02-18,646,0
17629,"陈奉孝：科学历史观","陈奉孝","笔会专栏",2008-02-21,111,0
17643,"傅国涌：“悲凉之雾，遍被华林”——从李慎之与许良英的43封通信解读李慎之晚年思想","傅国涌","大浪淘沙",2008-02-21,242,0
17647,"杨继绳：毛泽东时代的社会结构","杨继绳","共和国史",2008-02-21,4919,0
17648,"辛子陵：《千秋功罪毛泽东》出版前后——在《炎黄春秋》新春联谊会上的发言","辛子陵","共和国史",2008-02-22,284,0
17668,"张博树：推进新闻制度改革，落实中国公民的知情权、","张博树","政治学专栏",2008-02-24,53,0
17673,"陈子明：“改革开放”已经成为正统意识形态的文化霸权的一种体现","陈子明","中国政治",2008-02-24,28,0
17734,"许允仁：从《集结号》看后极权主义的艺术创新","许允仁","中国政治",2008-02-26,252,0
17735,"谢泳：1957年反右运动史料的收集与评价","谢泳","笔会专栏",2008-02-26,326,0
17738,"姚监复：株连六万人的「现代文字狱」并未彻底翻案","姚监复","社会学专栏",2008-02-26,281,0
17752,"郑永年：中国的下一条“血路”","郑永年","政治时评",2008-02-27,94,0
17798,"吴敏：政治体制“深水区”的改革序幕拉开了吗？","吴敏","政治学专栏",2008-03-01,108,0
17807,"何与怀：上下求索，虽九死犹未悔","何与怀","笔会专栏",2008-03-02,42,0
17873,"杨光：东风吹，战鼓擂，当今中国谁能“牛”过谁？","杨光","笔会专栏",2008-03-06,183,0
17874,"杨光：消除户口歧视，实施平等保护——呼吁全国人大推动户籍制度改革","杨光","笔会专栏",2008-03-06,95,0
17960,"程默：我们怎样失去迁徙自由的——20世纪50年代中国户籍制度的形成与演变","程默","中国政治",2008-03-12,2974,0
18043,"陈子明：1957年“主动右派”的三种类型——“右翼知识分子”、修正主义者、维权者","陈子明","中国政治",2008-03-19,346,0
18081,"王维洛：1982年的一场无声无息的土地“革命”——中国的私有土地是如何国有化的？","王维洛","共和国史",2008-03-21,108,0
18082,"应克复：中国大陆政党制度及其展望","应克复","中国政治",2008-03-21,19,0
18143,"摩罗：中国人民完全能够顺利回归民主传统——台湾大选感言","摩罗","台海政治",2008-03-27,200,0
18167,"岳海：第三次共和——中国宪政百年未竟之旅","岳海","法学",2008-03-29,6311,0
18304,"钱理群：不能遗忘的思想——1980年中国校园民主运动述评","钱理群","中国政治",2008-04-09,431,0
18326,"杜光：威胁与机会：考验执政者的智慧与能力","杜光","专题文库",2008-04-10,247,0
18328,"梁文道：为西藏问题寻找最大公约数——期待民族的和解","梁文道","政治时评",2008-04-10,9604,0
18376,"杜光：改革开放与民主革命","杜光","政治学演讲稿",2008-04-15,182,0
18541,"丁松泉：中石油不能承受之重","丁松泉","笔会专栏",2008-04-28,2812,0
18716,"张博树：西藏问题的根本出路","张博树","政治时评",2008-05-08,620,0
19055,"杨恒均：为中国特色的民主而奋斗！","杨恒均","笔会专栏",2008-06-04,6952,0
19166,"赵俊臣：不能把余秋雨的布道说成是官方授意","赵俊臣","杂文",2008-06-12,2654,0
19177,"张允若：让国人痛心疾首的踏步——从唐山到汶川的思考之二","张允若","新闻传播学专栏",2008-06-13,1649,0
19208,"刘军宁：为什么不重视生命？","刘军宁","杂文",2008-06-15,53,0
19254,"沙叶新：江青和她的丈夫们","沙叶新","笔会专栏",2008-06-17,13727,0
19321,"张宏良：4000万股民已成为金融买办要挟中央的人质","张宏良","经济时评",2008-06-20,2579,0
19334,"陈奉孝：对韩西林先生苏联共产党丧失政权的历史教训》一文的几点看法","陈奉孝","笔会专栏",2008-06-22,98,0
19485,"施卫江：暴力袭警案突显社会的不和谐","施卫江","杂文",2008-07-03,1880,0
19586,"章立凡：地震中的改革大厦：三十年改革的回顾与前瞻","章立凡","笔会专栏",2008-07-10,3606,0
19608,"吴稼祥：黑恶势力是在“公然挑衅”，还是在“公然勾结”翁安县政府？","吴稼祥","政治学专栏",2008-07-11,5284,0
19724,"陈奉孝： 三言两语话民主——评张千帆先生“只有民主才能造和谐”","陈奉孝","笔会专栏",2008-07-18,107,0
19807,"贺玉高：愤怒及其他——杨佳案的黑格尔式解读","贺玉高","杂文",2008-07-23,3428,0
19843,"杜光：漫漫立宪路，宪政何迢迢 ——纪念中国立宪起步一百年","杜光","政治学演讲稿",2008-07-24,464,0
19998,"鄢烈山：孙中山是韩人后裔又何妨？","鄢烈山","杂文",2008-08-04,887,0
20017,"余杰：你从古拉格归来——致索尔仁尼琴","余杰","人格底线",2008-08-05,4472,0
20018,"昝爱宗：索尔仁尼琴：饱受争议的俄罗斯良心","昝爱宗","人格底线",2008-08-05,338,0
20106,"刘放：沉重的墓碑——读杨继绳《墓碑》（中国60年代大饥荒纪实）","刘放","历史学读书",2008-08-11,511,0
20323,"刘军宁：自由主义视野中的计划生育政策","刘军宁","政治学专栏",2008-08-26,1343,0
20403,"陈子明：北京奥运后的两条路线之争","陈子明","杂文",2008-08-30,15,0
20410,"杜光：一步之遥：从杨佳到“人肉炸弹”","杜光","政治学专栏",2008-08-31,3497,0
20508,"杜光：普世价值：一个时代性的重大课题","杜光","文学与文化演讲",2008-09-04,4078,0
20532,"韦大林：杨佳的悖论","韦大林","杂文",2008-09-04,2811,0
20586,"杜光：杨佳袭警案的两个重要教训","杜光","政治学专栏",2008-09-07,1497,0
20596,"陈行之：杨佳案：不仅仅关乎生死","陈行之","笔会专栏",2008-09-07,3712,0
20641,"张博树：支持北京律师关于律协直选的呼吁","张博树","法学时评",2008-09-09,970,0
20672,"杨继绳：集体世袭与“权力场”","杨继绳","读史札记",2008-09-09,2190,0
20694,"章立凡：欲求真理，先求真相","章立凡","杂文",2008-09-10,1808,0
20704,"孙振：文革后期我与四川省委书记赵紫阳的交往","孙振","大浪淘沙",2008-09-11,1035,0
20746,"陈子寒：驱除黑暗，须将光放进黑暗中心……","陈子寒","杂文",2008-09-12,1182,0
20766,"杨继绳：大饥荒期间中国的人口损失","杨继绳","共和国史",2008-09-13,715,0
20838,"郭于华：这是一个相互投毒的社会？","郭于华","社会学专栏",2008-09-17,4718,0
20944,"张宏良：掀起新世纪伟大的思想解放运动","张宏良","政治学演讲稿",2008-09-22,1391,0
20971,"武际可：从三鹿毒奶粉看功能腐败","武际可","杂文",2008-09-23,2363,0
21112,"丁学良：你不能不看的墓碑","丁学良","历史学读书",2008-09-30,9271,0
21148,"傅国涌：后奥运时代：从“鸟巢”外开始","傅国涌","杂文",2008-10-02,4,0
21180,"秦晖：不要驱逐城市贫民","秦晖","特殊群体研究",2008-10-04,4031,0
21198,"赵法生：市场经济是有毒的？——三聚氰胺毒奶启示录","赵法生","杂文",2008-10-06,1487,0
21202,"肖雪慧：食品安全和责任政府——我看毒奶粉事件","肖雪慧","杂文",2008-10-06,1134,0
21211,"张鸣：政府道歉的标准文本","张鸣","杂文",2008-10-06,744,0
21214,"邵建：这道歉何以更像是政治“陈情表”","邵建","杂文",2008-10-06,786,0
21420,"徐贲：“改革开放”：合法性危机的消解与再形成","徐贲","中国政治",2008-10-16,2410,0
21525,"刘军宁：反思三鹿奶粉事件及其中的上报制度","刘军宁","杂文",2008-10-20,1135,0
21561,"信力建：程序正义也是正义","信力建","法学时评",2008-10-21,1104,0
21633,"黄永森：“杨佳案”：对中国司法文明与法治中国的思考","黄永森","法学时评",2008-10-24,1331,0
21637,"李利：杨佳案，真相比判决更重要！","李利","法学时评",2008-10-24,3171,0
21722,"杜光：诋毁民主自由为哪般？——读报随感之二","杜光","政治学专栏",2008-10-28,3304,0
21726,"徐景安：一评陈奎元院长的讲话","徐景安","学术规范",2008-10-28,2056,0
21862,"陈奉孝：中国人变了","陈奉孝","政治时评",2008-11-02,5784,0
22252,"于建嵘：中国基督教家庭教会向何处去？——与家庭教会人士的对话","于建嵘","社会学专栏",2008-11-15,12865,0
22287,"徐景安：繁荣哲学社会科学之我见——三评陈奎元院长的讲话","徐景安","笔会专栏",2008-11-17,2553,0
22423,"吴伟：陇南事件说明了什么？","吴伟","政治时评",2008-11-21,374,0
22591,"钟沛璋 张博树：推进新闻体制改革 重构现代新闻制度","钟沛璋 张博树","新闻传播学时评",2008-11-25,678,0
22719,"杜光：从“先有蛋后有鸡”说到普世价值","杜光","政治学专栏",2008-11-28,2794,0
22817,"王占阳：毛泽东所谓“没有抽象的自由民主”是错误的","王占阳","共和国史",2008-12-01,3336,0
22843,"徐开彬：学生告教授不荒唐","徐开彬","杂文",2008-12-02,2361,0
22936,"陈奉孝：中俄两国暴富集团的异同","陈奉孝","政治时评",2008-12-05,1891,0
23445,"辛子陵：“腐败黑数”知多少","辛子陵","政治时评",2008-12-19,4381,0
23589,"于浩成：悼王元化，忆《新启蒙》","于浩成","往事追忆",2008-12-23,1336,0
23679,"王霄：唱歌跳舞打球的女将军折射了中国军队的什么","王霄","笔会专栏",2008-12-26,392,0
23768,"张千帆：谈中国宪政","张千帆","法学演讲",2008-12-29,3678,0
23786,"杜光：实现普世价值是人性的复归","杜光","政治思想与思潮",2008-12-30,4037,0
23941,"吴稼祥：从新权威到宪政民主——探索中国特色的政治改革理论","吴稼祥","中国政治",2009-01-04,1587,0
24013,"刘军宁：三十年改革：一场游戏，一场梦！","刘军宁","专题文库",2009-01-07,4173,0
24105,"陈子明：中国宪政民主的实现途径（上）","陈子明","政治学专栏",2009-01-10,1045,0
24125,"陈光：中国改革陷入两难困境","陈光","经济学专栏",2009-01-10,2857,0
24148,"陈奉孝：政改必须迈过这道坎","陈奉孝","共和国史",2009-01-11,24,0
24150,"张雪忠：中国特色，但并不社会主义","张雪忠","政治时评",2009-01-12,796,0
24181,"鲁嘉宾：“信阳事件”的前因后果","鲁嘉宾","读史札记",2009-01-12,4147,0
24241,"陈子明：真相的遮蔽与还原","陈子明","共和国史",2009-01-14,48,0
24243,"陈子明：从重庆出租车罢运联想政改“三步走”","陈子明","政治时评",2009-01-14,10,0
24284,"黎阳：如何看毛泽东时代","黎阳","大浪淘沙",2009-01-15,4644,0
24293,"陈晓律：从英联邦国家的角度看世界现代化进程","陈晓律","世界史",2009-01-15,27,0
24296,"张鸣：改革危局与清末新政比较——后意识形态时代的三大隐忧","张鸣","政治时评",2009-01-15,1859,0
24431,"刘德军：江苏“三反”中的“打虎”运动","刘德军","共和国史",2009-01-21,399,0
24479,"李华芳：从威权到民主：中国奇迹还是亚洲戏剧？","李华芳","发展经济学",2009-01-24,2593,0
24524,"丁学良：中国执政党的“第三春”？","丁学良","政治时评",2009-02-02,1224,0
24534,"杜光：给历史留下真实的记录","杜光","往事追忆",2009-02-02,3301,0
24538,"陈子明：民意变迁的两个轮回","陈子明","中国政治",2009-02-02,663,0
24760,"张维迎：将部分国有股票与外汇储备分给百姓","张维迎","经济时评",2009-02-11,58,0
24800,"吴伟：政治体制改革：十七大与十三大之比较","吴伟","笔会专栏",2009-02-12,4910,0
24850,"丁学良：官僚制与中国改革","丁学良","政治时评",2009-02-15,907,0
24955,"崔卫平：我是一只草泥马","崔卫平","新闻传播学时评",2009-02-20,8997,0
24998,"南方都市报：这样舔屁沟我很激动",NA,"杂文",2009-02-22,4875,0
25144,"沈睿：低俗的十三个分类和人的生殖器官","沈睿","语言学和文学专栏",2009-03-02,609,0
25145,"沈睿：站队站到色情里","沈睿","语言学和文学专栏",2009-03-02,701,0
25155,"陈行之：严肃的谐谑——从“草泥马”说到“草泥马”","陈行之","笔会专栏",2009-03-02,4943,0
25458,"杨奎松：共产国际为中共提供财政援助情况之考察","杨奎松","中国近现代史",2009-03-13,324,0
25463,"曹思源：做实最高国家权力机关：人大改革五项建议","曹思源","政治时评",2009-03-13,80,0
25541,"袁伟时：批判普世价值是没文化的表现","袁伟时","政治思想与思潮",2009-03-16,1208,0
25559,"杨恒钧：她逃离疯人院，他刚刚走出监狱","杨恒钧","笔会专栏",2009-03-17,295,0
25827,"杜光：草泥马之歌：为文化专制主义敲起丧钟","杜光","专题文库",2009-03-26,4496,0
25828,"杜光：关于普世价值的理论和实践","杜光","政治思想与思潮",2009-03-26,2407,0
26095,"于建嵘：精神病学专家孙教授的拍脑袋学术","于建嵘","杂文",2009-04-06,6734,0
26113,"闵良臣：对1957年那场“阳谋”的一点“新说”","闵良臣","笔会专栏",2009-04-07,218,0
26114,"闵良臣：更好的民主","闵良臣","笔会专栏",2009-04-07,10,0
26156,"章立凡：牛年竹枝词（二十首）","章立凡","词曲",2009-04-08,590,0
26159,"章立凡：牛年竹枝词（续）十首","章立凡","词曲",2009-04-08,694,0
26298,"蒋经国：从独夫到伟人","李钟琴","台海历史与文化",2009-04-13,2720,0
26395,"李锐：向胡耀邦学习——《胡耀邦传》序言","李锐","大浪淘沙",2009-04-16,1712,0
26400,"张允若：纸上的“人权行动”","张允若","杂文",2009-04-16,755,0
26401,"长平：记住蒋经国","长平","杂文",2009-04-16,913,0
26474,"沙叶新：入木三分骂亦精——答今之刘伶问","沙叶新","笔会专栏",2009-04-20,434,0
26999,"于建嵘：当前中国能避免社会大动荡吗？","于建嵘","政治学演讲稿",2009-05-07,15604,0
27259,"杨恒均：我为邓玉娇辩护——谢谢你用修脚刀启蒙了我！","杨恒均","专题文库",2009-05-15,5093,0
27388,"朱少华：邓玉娇“故意杀人”的蹊跷","朱少华","专题文库",2009-05-20,1016,0
27477,"树立一个“邓玉娇”，挽救一批“邓贵大”","南方都市报","专题文库",2009-05-25,2128,0
27518,"羽戈：律师何以成为邓玉娇案的焦点","羽戈","专题文库",2009-05-26,2201,0
27572,"宋家宏：烈女邓玉娇掀开的社会危机","宋家宏","专题文库",2009-05-28,6292,0
27610,"高山杉：“门修斯”之后又见“常凯申”","高山杉","学术规范",2009-05-31,78,0
27633,"张鸣：我控诉：强奸仍在继续","张鸣","专题文库",2009-05-31,7838,0
27642,"蔡慎坤：国民党在统一大业中将扮演什么角色？","蔡慎坤","台海政治",2009-06-01,278,0
27816,"张千帆：我的梦想：做一个有尊严的中国人","张千帆","民权理念",2009-06-07,3307,0
27838,"秋风：“烈女”的文化与政治涵义","秋风","专题文库",2009-06-08,3449,0
27848,"杨开亮：“三一八惨案”的另一个凶手——鹿钟麟","杨开亮","读史札记",2009-06-09,2101,0
27887,"林来梵 褚宸舸：中国式“宪政”的概念发展史","林来梵 褚宸舸","政治思想与思潮",2009-06-10,217,0
27925,"宋华琳：政府规制改革的成因与动力*——以晚近中国药品安全规制为中心的观察","宋华琳","专题文库",2009-06-11,193,0
28158,"章诒和：云山几盘，江流几湾，天涯极目空肠断","章诒和","大浪淘沙",2009-06-18,15753,0
28175,"陈行之：邓玉娇案作为社会学标本的意义","陈行之","专题文库",2009-06-18,3476,0
28197,"杨恒均：绿坝为花季护航，谁为公民的隐私护航","杨恒均","专题文库",2009-06-19,1012,0
28261,"王友琴：刘少奇和文革暴力","王友琴","文革人物档案",2009-06-21,11574,0
28270,"展江：告老还师书","展江","人格底线",2009-06-22,2306,0
28318,"王友琴：文革死难者——李文波","王友琴","语言学和文学专栏",2009-06-23,5689,0
28398,"刘军宁：抗税时代来临？从“倾茶党”到“家具党”","刘军宁","杂文",2009-06-25,210,0
28409,"吴敏：苏共以党治国亡党亡国的历史警示","吴敏","世界史",2009-06-25,381,0
28478,"郭建：文以载史，抗拒遗忘：中国知识分子的良知与文学的纪实性","郭建","语言学和文学专栏",2009-06-29,1642,0
28616,"李劼：孙中山：上断改良之路 下启国共之祸","李劼","大浪淘沙",2009-07-02,77,0
28739,"吴伟：该硬的必须硬起来","吴伟","政治时评",2009-07-07,4541,0
28753,"申林：从拉萨纵火案的判决到乌鲁木齐的暴乱：论政府扭曲的民族政策","申林","专题文库",2009-07-07,2336,0
28834,"崔卫平：去掉恐惧，做和平的使者","崔卫平","人格底线",2009-07-08,2764,0
28835,"景行：国家社科基金项目涉嫌抄袭","景行","学术规范",2009-07-08,457,0
28846,"纪赟：反思中国新疆暴乱原因与对策","纪赟","专题文库",2009-07-09,7162,0
29114,"张千帆：中国宪政的前途（上）","张千帆","政治学演讲稿",2009-07-14,247,0
29177,"高力克：陈独秀晚年的民主观","高力克","中国近现代史",2009-07-17,3,0
29288,"刘军宁：取消民族，多元共治——从最近的两起事件说起","刘军宁","杂文",2009-07-23,15,0
29336,"郑永年：中国少数民族政策的问题到底在哪里？","郑永年","政治时评",2009-07-24,20,0
29367,"侯书议：政府圈钱运动将重创中国经济","侯书议","经济时评",2009-07-27,1,0
29452,"范亚峰 李凡等：中国民主化的转型模式研讨会纪要","范亚峰 李凡","中国政治",2009-07-30,3,0
29770,"章文：“老子给你提供数据的时候就是假的”","章文","杂文",2009-08-24,3,0
30356,"陈子明：六十年：拨乱反正还是一脉相承？","陈子明","政治时评",2009-09-15,38,0
30392,"周孝正：社会问题","周孝正","社会学演讲稿",2009-09-17,53,0
30495,"章文：共产党还能认真吗？","章文","杂文",2009-09-22,4,0
30545,"邵建：“党在国上”的中华民国国旗为何至今不改？","邵建","台海政治",2009-09-24,6,0
